Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Information: 0 : [2016-02-24 20:18:30.7902] Starting download job. Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:18:35.9260] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:18:40.9203] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:18:45.9299] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:18:50.9277] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:18:55.9288] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:19:00.9423] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:19:05.9372] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:19:10.9480] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:19:15.9356] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-02-24 20:19:20.9459] Download job completed. Id: f3c2f2ca-ffe8-40df-b71b-05e9302aae07, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\YSU\AppData\Local\Temp\Xamarin\031-07735-A.dmg
